canonical_class	severity_level	pair_id	knowledge_document	heading	current_text_hash	current_text	adjustment_direction	mismatch_type	exact_operation	operation_sequence	candidate_final_text	candidate_final_text_hash	source_ids	source_support_status	retained_claims	removed_claims	scope_qualifiers_added	introduces_new_agricultural_fact	changes_measure_strength	tier_relocation	authoring_status	review_status	approved_final_text_hash
玉米叶枯病	中度	玉米叶枯病-中度	knowledge\baidu-baike-20260818\documents\00.md	### 中度	3787CEDE8DF09EB16918D3361BCEA3985655424A4550244FE8873C7347EDDA6D	### 中度\r\n\r\n1. 对病斑明显扩展的下部和成熟老叶进行重点清理，同时加强清沟排水和田间通风。[03-T1]\r\n2. 结合轮作、深耕、清除病残体等措施降低再侵染源。[03-T1]\r\n3. **不得直接把大斑病、小斑病、灰斑病方案当作本病登记方案。**\r\n4. 同行评议研究表明，咪鲜胺（prochloraz）对黑龙江玉米链格孢叶枯病相关的 A. alternata 分离株表现出较高体外敏感性，但该研究同时指出当时中国尚无专门登记用于该病的杀菌剂，因此这一结果只作为研究证据，不作为系统直接面向农民的用药处方。[03-T2]\r\n\r\n	require explicit user confirmation and target-crop registration/label validation before optional guidance; never auto-convert historical severity	scope_and_registration_mismatch	COMPOSITE	ADD_SCOPE_QUALIFIER Q1; RETAIN C1; RETAIN C2; RETAIN C3; RETAIN C4; REPLACE_TEXT complete candidate section	### 中度\r\n\r\n> 适用范围：以下内容仅作为当前确认样本的可选一般指导；不得依据当前样本自动选择治疗层级。涉及药剂时，须由用户确认目标作物并核对当前产品标签及登记适用范围。\r\n\r\n1. 对病斑明显扩展的下部和成熟老叶进行重点清理，同时加强清沟排水和田间通风。[03-T1]\r\n2. 结合轮作、深耕、清除病残体等措施降低再侵染源。[03-T1]\r\n3. **不得直接把大斑病、小斑病、灰斑病方案当作本病登记方案。**\r\n4. 同行评议研究表明，咪鲜胺（prochloraz）对黑龙江玉米链格孢叶枯病相关的 A. alternata 分离株表现出较高体外敏感性，但该研究同时指出当时中国尚无专门登记用于该病的杀菌剂，因此这一结果只作为研究证据，不作为系统直接面向农民的用药处方。[03-T2]\r\n	D36BA578A9B316BB50078B19D11C1B4479C9DE47FB1C58BCBE2E11712FEDAFDA	03-T1; 03-T2	SUPPORTED	C1; C2; C3; C4		Q1	NO	NO	NO	DRAFTED	APPROVED	D36BA578A9B316BB50078B19D11C1B4479C9DE47FB1C58BCBE2E11712FEDAFDA
玉米叶枯病	重度	玉米叶枯病-重度	knowledge\baidu-baike-20260818\documents\00.md	### 重度	21CB27D8EEFFC2BAFB255F599AEE0D39D109D768948771D93E9686C6333AB3E9	### 重度\r\n\r\n1. 对大面积枯死、失去光合功能的叶片和病残体进行规范处理，减少病原残留。[03-T1]\r\n2. 加强排水、通风、肥水和植株抗逆管理，尽可能保护仍健康的功能叶。\r\n3. 如果当地当前农药登记数据库已经出现**明确登记用于玉米链格孢菌叶枯病**的产品，可按最新标签和当地植保指导使用；否则系统保持“不提供确定性药剂处方”。[03-T2]\r\n4. 病害已严重影响大部分叶面积时，应结合玉米生育阶段和剩余产量潜力请当地农技人员评估防治经济性。\r\n\r\n	separate current-sample severe display from field-scale escalation; require user/context confirmation and current registration/label validation	scope_mismatch	COMPOSITE	ADD_SCOPE_QUALIFIER Q1; RETAIN C2; RETAIN C3; DELETE C1; DELETE C4; REPLACE_TEXT complete candidate section	### 重度\r\n\r\n> 适用范围：以下内容仅针对当前确认样本及其可见组织；当前样本的重度观察不自动推断大面积、产量、采收期或区域防控。涉及药剂时，须由用户确认目标作物并核对当前产品标签及登记适用范围。\r\n\r\n1. 加强排水、通风、肥水和植株抗逆管理，尽可能保护仍健康的功能叶。\r\n2. 如果当地当前农药登记数据库已经出现**明确登记用于玉米链格孢菌叶枯病**的产品，可按最新标签和当地植保指导使用；否则系统保持“不提供确定性药剂处方”。[03-T2]\r\n	9A1E7653195AD8FF8BF7B79B111057233C398EA321720EB17534AF602333AF39	03-T1; 03-T2	SUPPORTED	C2; C3	C1; C4	Q1	NO	NO	NO	DRAFTED	APPROVED	9A1E7653195AD8FF8BF7B79B111057233C398EA321720EB17534AF602333AF39
番茄斑枯病	中度	番茄斑枯病-中度	knowledge\baidu-baike-20260818\documents\01.md	### 中度	E9838106CA19C646C7E1E945663DF31560CD856A1B9B0B24B8A34DA1F70DDCF4	### 中度\r\n\r\n1. 连续清除病斑较密集的下部叶片，重点保护中上部健康叶片。[05-T1]\r\n2. 控制叶面湿润时间，减少喷灌和雨水飞溅传播条件。[05-T1]\r\n3. 可按当前产品登记标签使用番茄斑枯病药剂；历史官方指南示例为 37%苯醚甲环唑水分散粒剂 9.5–12 克/亩喷雾，但实际应用必须核对当前产品标签。[05-T2]\r\n4. 需要继续施药时，按标签轮换不同作用机制，不自行增加频次。\r\n\r\n	require explicit user confirmation and target-crop registration/label validation before optional guidance; never auto-convert historical severity	scope_and_registration_mismatch	COMPOSITE	ADD_SCOPE_QUALIFIER Q1; RETAIN C1; RETAIN C2; RETAIN C3; RETAIN C4; REPLACE_TEXT complete candidate section	### 中度\r\n\r\n> 适用范围：以下内容仅作为当前确认样本的可选一般指导；不得依据当前样本自动选择治疗层级。涉及药剂时，须由用户确认目标作物并核对当前产品标签及登记适用范围。\r\n\r\n1. 连续清除病斑较密集的下部叶片，重点保护中上部健康叶片。[05-T1]\r\n2. 控制叶面湿润时间，减少喷灌和雨水飞溅传播条件。[05-T1]\r\n3. 可按当前产品登记标签使用番茄斑枯病药剂；历史官方指南示例为 37%苯醚甲环唑水分散粒剂 9.5–12 克/亩喷雾，但实际应用必须核对当前产品标签。[05-T2]\r\n4. 需要继续施药时，按标签轮换不同作用机制，不自行增加频次。\r\n	CB373EE72DA524169700CC7F85DCDABBADCF9A340FB68722148A15F47CB79724	05-T1; 05-T2	SUPPORTED	C1; C2; C3; C4		Q1	NO	NO	NO	DRAFTED	APPROVED	CB373EE72DA524169700CC7F85DCDABBADCF9A340FB68722148A15F47CB79724
番茄斑枯病	重度	番茄斑枯病-重度	knowledge\baidu-baike-20260818\documents\01.md	### 重度	4C2F64D3D6AAF492B53FB16E6E1B983C8EA95602376A158629B26219033FAD8C	### 重度\r\n\r\n1. 清除已经大面积黄化、枯死的病叶和失去恢复价值的严重植株，减少病原扩散源。\r\n2. 重点保护仍健康的功能叶，持续加强通风、排湿、减少叶面淋水。[05-T1]\r\n3. 使用当前登记的番茄斑枯病杀菌剂规范防治，不因重度提高剂量。[05-T2]\r\n4. 若已经出现严重落叶并明显影响产量，应结合剩余采收期评估继续防治或及时清园。\r\n\r\n	separate current-sample severe display from field-scale escalation; require user/context confirmation and current registration/label validation	scope_mismatch	COMPOSITE	ADD_SCOPE_QUALIFIER Q1; RETAIN C2; RETAIN C3; DELETE C1; DELETE C4; REPLACE_TEXT complete candidate section	### 重度\r\n\r\n> 适用范围：以下内容仅针对当前确认样本及其可见组织；当前样本的重度观察不自动推断大面积、产量、采收期或区域防控。涉及药剂时，须由用户确认目标作物并核对当前产品标签及登记适用范围。\r\n\r\n1. 重点保护仍健康的功能叶，持续加强通风、排湿、减少叶面淋水。[05-T1]\r\n2. 使用当前登记的番茄斑枯病杀菌剂规范防治，不因重度提高剂量。[05-T2]\r\n	E4173D67DBA89D32A02A9BF33CED33DBD8488A06C31FAC75C09E4A896A05AFBB	05-T1; 05-T2	SUPPORTED	C2; C3	C1; C4	Q1	NO	NO	NO	DRAFTED	APPROVED	E4173D67DBA89D32A02A9BF33CED33DBD8488A06C31FAC75C09E4A896A05AFBB
南瓜白粉病	中度	南瓜白粉病-中度	knowledge\baidu-baike-20260818\documents\02.md	### 中度	953D48E0860EBC2C4A271D422DCE85FFB7C90492E1D2A7960146466BE62D9123	### 中度\r\n\r\n1. 清除病斑密集、已明显影响光合作用的叶片，同时尽量保留仍有功能的健康叶片。[01-T1]\r\n2. 调整灌水和通风管理，避免群体长期郁闭，施药时重点保证叶片正反面覆盖。[01-T1]\r\n3. 使用当前登记用于南瓜/瓜类白粉病的杀菌剂进行叶面喷雾，并根据标签规定决定是否需要再次施药。[01-T2][01-T3]\r\n4. 如需连续防治，应轮换不同作用机制药剂，避免长期单一用药导致抗药性上升。[01-T1]\r\n\r\n	require explicit user confirmation and target-crop registration/label validation before optional guidance; never auto-convert historical severity	scope_and_registration_mismatch	COMPOSITE	ADD_SCOPE_QUALIFIER Q1; RETAIN C1; RETAIN C2; RETAIN C3; RETAIN C4; REPLACE_TEXT complete candidate section	### 中度\r\n\r\n> 适用范围：以下内容仅作为当前确认样本的可选一般指导；不得依据当前样本自动选择治疗层级。涉及药剂时，须由用户确认目标作物并核对当前产品标签及登记适用范围。\r\n\r\n1. 清除病斑密集、已明显影响光合作用的叶片，同时尽量保留仍有功能的健康叶片。[01-T1]\r\n2. 调整灌水和通风管理，避免群体长期郁闭，施药时重点保证叶片正反面覆盖。[01-T1]\r\n3. 使用当前登记用于南瓜/瓜类白粉病的杀菌剂进行叶面喷雾，并根据标签规定决定是否需要再次施药。[01-T2][01-T3]\r\n4. 如需连续防治，应轮换不同作用机制药剂，避免长期单一用药导致抗药性上升。[01-T1]\r\n	38BD9EE730A176A549B797FA185795A9907657B2E327298B868976FD8D78E97C	01-T1; 01-T2; 01-T3	SUPPORTED	C1; C2; C3; C4		Q1	NO	NO	NO	DRAFTED	APPROVED	38BD9EE730A176A549B797FA185795A9907657B2E327298B868976FD8D78E97C
南瓜白粉病	重度	南瓜白粉病-重度	knowledge\baidu-baike-20260818\documents\02.md	### 重度	04EFB72ACFB553EF3AE8DD0DBC2F43C3FD625618F5A96A84C4EA7D8294CCDDD5	### 重度\r\n\r\n1. 先清除已经大面积黄化、枯死并失去光合功能的病叶和病残组织，降低田间病原负荷。[01-T1]\r\n2. 同步加强通风、透光和肥水管理，避免只依赖化学防治。[01-T1][01-T2]\r\n3. 对仍有保产价值的植株，选择登记用于该作物和白粉病的有效药剂规范防治；不得因“重度”自行提高浓度或缩短标签规定的安全间隔。[01-T3]\r\n4. 如果大部分功能叶已丧失，应结合剩余生育期、产量潜力和当地植保意见评估继续防治或及时清园。\r\n\r\n	separate current-sample severe display from field-scale escalation; require user/context confirmation and current registration/label validation	scope_mismatch	COMPOSITE	ADD_SCOPE_QUALIFIER Q1; REPHRASE C1; RETAIN C2; RETAIN C3; DELETE C4; REPLACE_TEXT complete candidate section	### 重度\r\n\r\n> 适用范围：以下内容仅针对当前确认样本及其可见组织；当前样本的重度观察不自动推断大面积、产量、采收期或区域防控。涉及药剂时，须由用户确认目标作物并核对当前产品标签及登记适用范围。\r\n\r\n1. 清除已经黄化、枯死并失去光合功能的病叶和病残组织，降低田间病原负荷。\r\n2. 同步加强通风、透光和肥水管理，避免只依赖化学防治。[01-T1][01-T2]\r\n3. 对仍有保产价值的植株，选择登记用于该作物和白粉病的有效药剂规范防治；不得因“重度”自行提高浓度或缩短标签规定的安全间隔。[01-T3]\r\n	BDA96EC30B9F36C2558965412C17CE2590617BB0AB4C7A1FFFF25BC792291B1E	01-T1; 01-T2; 01-T3	SUPPORTED	C1; C2; C3	C4	Q1	NO	NO	NO	DRAFTED	APPROVED	BDA96EC30B9F36C2558965412C17CE2590617BB0AB4C7A1FFFF25BC792291B1E
马铃薯早疫病	轻度	马铃薯早疫病-轻度	knowledge\baidu-baike-20260818\documents\03.md	### 轻度	41020E5FF15939807B4E5FCE9A258A2B1F4CF8CC943E6F689C3EDB1E2D7CF447	### 轻度\r\n\r\n1. 及时处理下部少量严重病叶和病残组织，维持田间通风和健康功能叶。\r\n2. 平衡水肥，避免植株持续处于干旱、缺肥或早衰状态。\r\n3. 加强早疫病巡查，重点观察下部成熟叶片病斑扩展情况。\r\n4. 病害开始扩展时，可使用当前登记的马铃薯早疫病杀菌剂；国家/地方方案列出的有效成分方向包括**苯甲·丙环唑、啶酰菌胺、嘧菌酯、苯甲·嘧菌酯**等。[15-T1][15-T2]\r\n\r\n	require explicit user confirmation and target-crop registration/label validation before optional guidance; never auto-convert historical severity	scope_and_registration_mismatch	COMPOSITE	ADD_SCOPE_QUALIFIER Q1; RETAIN C1; RETAIN C2; RETAIN C3; RETAIN C4; REPLACE_TEXT complete candidate section	### 轻度\r\n\r\n> 适用范围：以下内容仅作为当前确认样本的可选一般指导；不得依据当前样本自动选择治疗层级。涉及药剂时，须由用户确认目标作物并核对当前产品标签及登记适用范围。\r\n\r\n1. 及时处理下部少量严重病叶和病残组织，维持田间通风和健康功能叶。\r\n2. 平衡水肥，避免植株持续处于干旱、缺肥或早衰状态。\r\n3. 加强早疫病巡查，重点观察下部成熟叶片病斑扩展情况。\r\n4. 病害开始扩展时，可使用当前登记的马铃薯早疫病杀菌剂；国家/地方方案列出的有效成分方向包括**苯甲·丙环唑、啶酰菌胺、嘧菌酯、苯甲·嘧菌酯**等。[15-T1][15-T2]\r\n	CFBFEEA7A184B3686FF430214501F4926DE30476FF5B3DA60F826816B4009FC8	15-T1; 15-T2	SUPPORTED	C1; C2; C3; C4		Q1	NO	NO	NO	DRAFTED	APPROVED	CFBFEEA7A184B3686FF430214501F4926DE30476FF5B3DA60F826816B4009FC8
马铃薯早疫病	中度	马铃薯早疫病-中度	knowledge\baidu-baike-20260818\documents\03.md	### 中度	62725F5B0D04CFA548525495F98111DF1A6CA60C99BC0C1953BB76E32DE9388D	### 中度\r\n\r\n1. 清除明显失去功能的病叶，重点保护中上部健康叶片。\r\n2. 改善水肥供应，降低植株衰弱造成的感病风险。\r\n3. 根据当前登记标签使用早疫病药剂，2026年技术方案列出的方向包括**苯甲·丙环唑、啶酰菌胺、肟菌·戊唑醇、苯甲·嘧菌酯**等。[15-T1]\r\n4. 轮换不同 FRAC 作用机制，不长期单用同一成分。\r\n\r\n	require explicit user confirmation and target-crop registration/label validation before optional guidance; never auto-convert historical severity	scope_and_registration_mismatch	COMPOSITE	ADD_SCOPE_QUALIFIER Q1; RETAIN C1; RETAIN C2; RETAIN C3; RETAIN C4; REPLACE_TEXT complete candidate section	### 中度\r\n\r\n> 适用范围：以下内容仅作为当前确认样本的可选一般指导；不得依据当前样本自动选择治疗层级。涉及药剂时，须由用户确认目标作物并核对当前产品标签及登记适用范围。\r\n\r\n1. 清除明显失去功能的病叶，重点保护中上部健康叶片。\r\n2. 改善水肥供应，降低植株衰弱造成的感病风险。\r\n3. 根据当前登记标签使用早疫病药剂，2026年技术方案列出的方向包括**苯甲·丙环唑、啶酰菌胺、肟菌·戊唑醇、苯甲·嘧菌酯**等。[15-T1]\r\n4. 轮换不同 FRAC 作用机制，不长期单用同一成分。\r\n	626A60E38377762E57F4746EBE866D2B8B8693C3EA9C5DA9924A2E4D29A37CF0	15-T1	SUPPORTED	C1; C2; C3; C4		Q1	NO	NO	NO	DRAFTED	APPROVED	626A60E38377762E57F4746EBE866D2B8B8693C3EA9C5DA9924A2E4D29A37CF0
马铃薯早疫病	重度	马铃薯早疫病-重度	knowledge\baidu-baike-20260818\documents\03.md	### 重度	16CF8148AD276F23E5851B3EA7C509FCD958FD7E62DAE9352A135D83831F3FC0	### 重度\r\n\r\n1. 重点保护仍健康的功能叶，减少已经枯死的病残组织。\r\n2. 使用当前登记用于马铃薯早疫病的治疗/保护药剂规范防治；不得因重度提高标签剂量。[15-T1]\r\n3. 如果地上部已经严重早衰，应结合块茎成熟度和剩余产量潜力评估是否提前收获。\r\n4. 收获时减少机械损伤，剔除明显病薯并按马铃薯贮藏要求管理。[15-T3]\r\n\r\n	separate current-sample severe display from field-scale escalation; require user/context confirmation and current registration/label validation	scope_mismatch	COMPOSITE	ADD_SCOPE_QUALIFIER Q1; RETAIN C1; RETAIN C2; RETAIN C4; DELETE C3; REPLACE_TEXT complete candidate section	### 重度\r\n\r\n> 适用范围：以下内容仅针对当前确认样本及其可见组织；当前样本的重度观察不自动推断大面积、产量、采收期或区域防控。涉及药剂时，须由用户确认目标作物并核对当前产品标签及登记适用范围。\r\n\r\n1. 重点保护仍健康的功能叶，减少已经枯死的病残组织。\r\n2. 使用当前登记用于马铃薯早疫病的治疗/保护药剂规范防治；不得因重度提高标签剂量。[15-T1]\r\n3. 收获时减少机械损伤，剔除明显病薯并按马铃薯贮藏要求管理。[15-T3]\r\n	CA8C921F883E0A2771941822E0FFEE70197E6E479BC8ECB9ED5E748EDE1A4B4A	15-T1; 15-T3	SUPPORTED	C1; C2; C4	C3	Q1	NO	NO	NO	DRAFTED	APPROVED	CA8C921F883E0A2771941822E0FFEE70197E6E479BC8ECB9ED5E748EDE1A4B4A
玉米锈病	轻度	玉米锈病-轻度	knowledge\baidu-baike-20260818\documents\04.md	### 轻度	FE17A3556F5B88D53BE270DEBB8750D28C9F88FAD140EEC350C050355773D3BE	### 轻度\r\n\r\n1. 合理密植，保持田间通风；科学施肥，避免偏施氮肥，适当补充磷钾肥。[04-T1][04-T2]\r\n2. 雨后及时排水，降低田间长期高湿环境。[04-T1][04-T2]\r\n3. 持续观察病斑是否向中上部功能叶扩展。\r\n4. 发病初期如需要药剂保护，可选择当地登记用于玉米锈病的**苯醚甲环唑、吡唑醚菌酯、戊唑醇、丙环·嘧菌酯等**相应产品，并严格按标签使用。[04-T1][04-T2]\r\n\r\n	require explicit user confirmation and target-crop registration/label validation before optional guidance; never auto-convert historical severity	scope_and_registration_mismatch	COMPOSITE	ADD_SCOPE_QUALIFIER Q1; RETAIN C1; RETAIN C2; RETAIN C3; RETAIN C4; REPLACE_TEXT complete candidate section	### 轻度\r\n\r\n> 适用范围：以下内容仅作为当前确认样本的可选一般指导；不得依据当前样本自动选择治疗层级。涉及药剂时，须由用户确认目标作物并核对当前产品标签及登记适用范围。\r\n\r\n1. 合理密植，保持田间通风；科学施肥，避免偏施氮肥，适当补充磷钾肥。[04-T1][04-T2]\r\n2. 雨后及时排水，降低田间长期高湿环境。[04-T1][04-T2]\r\n3. 持续观察病斑是否向中上部功能叶扩展。\r\n4. 发病初期如需要药剂保护，可选择当地登记用于玉米锈病的**苯醚甲环唑、吡唑醚菌酯、戊唑醇、丙环·嘧菌酯等**相应产品，并严格按标签使用。[04-T1][04-T2]\r\n	AA46F59B02A42EE3863A0F3E68F5596C7C6FC35F7D417C49DBD8770BDB59E681	04-T1; 04-T2	SUPPORTED	C1; C2; C3; C4		Q1	NO	NO	NO	DRAFTED	APPROVED	AA46F59B02A42EE3863A0F3E68F5596C7C6FC35F7D417C49DBD8770BDB59E681
