"evidence_id"	"canonical_class"	"source_title"	"author_or_institution"	"year"	"source_type"	"URL"	"DOI"	"access_status"	"evidence_relation"	"supports"	"classification_before"	"classification_after"	"classification_corrected"	"operational_rubric_boundary"	"notes"
"E-00"	"玉米叶枯病"	"Baseline Sensitivity and Toxicity Mechanisms of Prochloraz to Alternaria alternata Strains Associated with Maize Leaf Blight in Heilongjiang Province in China"	"Plant Disease / APS"	"as stated by source / not independently reverified"	"peer_reviewed"	"https://apsjournals.apsnet.org/doi/10.1094/PDIS-04-24-0913-RE"	"10.1094/PDIS-04-24-0913-RE"	"frozen URL present; not live-checked"	"symptom/damage or treatment-provenance vocabulary only; not a V2 threshold"	"visible symptom/damage vocabulary and frozen-treatment provenance"	"disease-specific peer-reviewed + project operational rubric"	"peer_reviewed; 03-T1 secondary content separated"	"YES"	"The four V2 states are a project operational rubric; this record does not claim an external universal visual-severity threshold."	"Corrected: 03-T1 (识农AI / 天天学农) is secondary content, not peer-reviewed. 03-T2 is the peer-reviewed source."
"E-01"	"番茄斑枯病"	"Septoria Leaf Spot of Tomatoes | 蔬菜绿色生产病虫害防治用药指南"	"University of Maryland Extension | 怀化市农业农村局"	"as stated by source / not independently reverified"	"university_extension"	"https://www.extension.umd.edu/resource/septoria-leaf-spot-tomatoes | https://www.huaihua.gov.cn/nyncj/c108787/202101/a2bc0e93fd334af3ad2dbc911bfa9c52.shtml"	""	"frozen URL present; not live-checked"	"symptom/damage or treatment-provenance vocabulary only; not a V2 threshold"	"visible symptom/damage vocabulary and frozen-treatment provenance"	"mixed/aggregate evidence label"	"secondary_content"	"YES"	"The four V2 states are a project operational rubric; this record does not claim an external universal visual-severity threshold."	"Source classification normalized to actual frozen source identity; project rubric boundary remains operational."
"E-02"	"南瓜白粉病"	"瓜類病蟲害及防治 | 黑龙江省近期多雨极端天气条件下蔬菜生产指导意见 | 棚室蔬菜病虫害防治技术"	"台南区农业改良场技术资料 | 黑龙江省农业农村厅 | 黑龙江省农业农村厅"	"as stated by source / not independently reverified"	"government_agriculture"	"https://book.tndais.gov.tw/Magazine/mag10-7.htm | https://nynct.hlj.gov.cn/nynct/c115394/202406/c00_31745814.shtml | https://nynct.hlj.gov.cn/nynct/c115394/202505/c00_31843153.shtml"	""	"frozen URL present; not live-checked"	"symptom/damage or treatment-provenance vocabulary only; not a V2 threshold"	"visible symptom/damage vocabulary and frozen-treatment provenance"	"mixed/aggregate evidence label"	"secondary_content"	"YES"	"The four V2 states are a project operational rubric; this record does not claim an external universal visual-severity threshold."	"Source classification normalized to actual frozen source identity; project rubric boundary remains operational."
"E-03"	"马铃薯早疫病"	"2026年马铃薯重大病虫害防控技术方案 | 2025年粮食作物重大病虫害防控技术方案"	"南阳市农业农村局 | 中国农业农村信息网 / 全国农技中心"	"as stated by source / not independently reverified"	"government_agriculture"	"https://nyj.nanyang.gov.cn/2026/03-31/1394358.html | https://www.agri.cn/sc/nszd/202502/t20250228_8758867.htm"	""	"frozen URL present; not live-checked"	"symptom/damage or treatment-provenance vocabulary only; not a V2 threshold"	"visible symptom/damage vocabulary and frozen-treatment provenance"	"mixed/aggregate evidence label"	"secondary_content"	"YES"	"The four V2 states are a project operational rubric; this record does not claim an external universal visual-severity threshold."	"Source classification normalized to actual frozen source identity; project rubric boundary remains operational."
"E-04"	"玉米锈病"	"合川区植保植检信息 第五期 | 玉米南方锈病防控技术指导意见"	"重庆市合川区人民政府 / 区农业农村委 | 济南市农业农村局"	"as stated by source / not independently reverified"	"government_agriculture"	"https://www.hc.gov.cn/bmjd/bm_100475/nyncw/zwxx_101376/dt_101378/202606/t20260609_15740893.html | https://jnny.jinan.gov.cn/col562/art/2024/art_562_4787817.html"	""	"frozen URL present; not live-checked"	"symptom/damage or treatment-provenance vocabulary only; not a V2 threshold"	"visible symptom/damage vocabulary and frozen-treatment provenance"	"mixed/aggregate evidence label"	"secondary_content"	"YES"	"The four V2 states are a project operational rubric; this record does not claim an external universal visual-severity threshold."	"Source classification normalized to actual frozen source identity; project rubric boundary remains operational."
"E-05"	"番茄细菌性斑点病"	"Bacterial Speck / Tomato / Agriculture: Pest Management Guidelines"	"UC Statewide IPM Program"	"as stated by source / not independently reverified"	"university_extension"	"https://ipm.ucanr.edu/agriculture/tomato/bacterial-speck/"	""	"frozen URL present; not live-checked"	"symptom/damage or treatment-provenance vocabulary only; not a V2 threshold"	"visible symptom/damage vocabulary and frozen-treatment provenance"	"mixed/aggregate evidence label"	"secondary_content"	"YES"	"The four V2 states are a project operational rubric; this record does not claim an external universal visual-severity threshold."	"Source classification normalized to actual frozen source identity; project rubric boundary remains operational."
"E-06"	"番茄晚疫病"	"园艺作物应对高温暴雨洪涝生产技术指导意见 | 2025年园艺作物重大病虫害防控技术方案"	"农业农村部种植业管理司 | 中国农业农村信息网 / 全国农技中心"	"as stated by source / not independently reverified"	"government_agriculture"	"https://zzys.moa.gov.cn/gdxw/202007/t20200710_6348404.htm | https://www.agri.cn/sc/nszd/202502/t20250228_8758865.htm"	""	"frozen URL present; not live-checked"	"symptom/damage or treatment-provenance vocabulary only; not a V2 threshold"	"visible symptom/damage vocabulary and frozen-treatment provenance"	"mixed/aggregate evidence label"	"secondary_content"	"YES"	"The four V2 states are a project operational rubric; this record does not claim an external universal visual-severity threshold."	"Source classification normalized to actual frozen source identity; project rubric boundary remains operational."
"E-07"	"马铃薯晚疫病"	"2026年马铃薯重大病虫害防控技术方案 | 2025年粮食作物重大病虫害防控技术方案"	"南阳市农业农村局 | 中国农业农村信息网 / 全国农技中心"	"as stated by source / not independently reverified"	"government_agriculture"	"https://nyj.nanyang.gov.cn/2026/03-31/1394358.html | https://www.agri.cn/sc/nszd/202502/t20250228_8758867.htm"	""	"frozen URL present; not live-checked"	"symptom/damage or treatment-provenance vocabulary only; not a V2 threshold"	"visible symptom/damage vocabulary and frozen-treatment provenance"	"mixed/aggregate evidence label"	"secondary_content"	"YES"	"The four V2 states are a project operational rubric; this record does not claim an external universal visual-severity threshold."	"Source classification normalized to actual frozen source identity; project rubric boundary remains operational."
"E-08"	"芫菁"	"《大足病虫情报》2026年第十期：红头芫菁的发生及防治方法（09-T2 replacement）"	"大足区农业农村委员会"	"as stated by source / not independently reverified"	"government_agriculture"	"https://www.dazu.gov.cn/qzfbm/qnyncw/zwxx_53317/gggs/202606/t20260622_15768429.html"	""	"09-T1 reported HTTP 404; 09-T2 replacement frozen URL not live-checked"	"symptom/damage or treatment-provenance vocabulary only; not a V2 threshold"	"visible symptom/damage vocabulary and frozen-treatment provenance"	"government source treated as available"	"government_agriculture; 09-T1 unavailable"	"YES"	"The four V2 states are a project operational rubric; this record does not claim an external universal visual-severity threshold."	"Corrected: former Ordos 09-T1 is unavailable and is not treated as strong evidence; audit uses 09-T2 replacement."
"E-09"	"蚜虫"	"2024年豇豆病虫害绿色防控技术方案 | 2025年玉米重大病虫害防控技术方案"	"农业农村部 / 全国农技中心 | 平凉市农业农村局（转发全国农技中心方案）"	"as stated by source / not independently reverified"	"government_agriculture"	"https://www.moa.gov.cn/ztzl/2024cg/jszd_29651/202403/P020240322565099338361.pdf | https://nync.pingliang.gov.cn/xwdt/syjs/art/2025/art_0485c41ab99c48118b0f74868d20c84d.html"	""	"frozen URL present; not live-checked"	"symptom/damage or treatment-provenance vocabulary only; not a V2 threshold"	"visible symptom/damage vocabulary and frozen-treatment provenance"	"mixed/aggregate evidence label"	"secondary_content"	"YES"	"The four V2 states are a project operational rubric; this record does not claim an external universal visual-severity threshold."	"Source classification normalized to actual frozen source identity; project rubric boundary remains operational."
