"class_id","class_name","severity","rubric","image_type","image_status","source","license","treatment_readiness","backend_state","frontend_state","persistence_state"
"0","玉米叶枯病","mild","少量分散的水渍状小圆斑，灰白中心和红褐边缘仍彼此分开，叶片大部分连续","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","READY_KEEP","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"0","玉米叶枯病","moderate","病斑在同一评估单位内明显增多或开始融合，出现黄化、穿孔或局部坏死，但仍可见完整绿色组织","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","READY_KEEP","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"0","玉米叶枯病","severe","融合坏死跨越大片叶面，叶片连续干枯、穿孔或软化，主要功能叶组织明显失去功能","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","READY_KEEP","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"1","番茄斑枯病","mild","少量鱼眼状圆斑，深褐边缘、灰白中心和黑色小粒点清楚，叶片主体完整","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","READY_KEEP","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"1","番茄斑枯病","moderate","鱼眼状病斑在叶片、茎段或果实上多处出现或局部相连，并伴黄化、落叶或坏死","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","READY_KEEP","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"1","番茄斑枯病","severe","病斑大范围相连并造成明显落叶、干枯或果实、茎段组织失去完整性","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","READY_KEEP","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"2","南瓜白粉病","mild","叶面仅见少量分散白色粉斑，粉状覆盖局限，叶片仍平展且大部分绿色","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","READY_KEEP","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"2","南瓜白粉病","moderate","白粉斑扩大并在叶面连续或相互连接，伴褪绿、黄化或轻度卷曲","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","READY_KEEP","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"2","南瓜白粉病","severe","白色粉层覆盖大片叶面并持续连接，叶片明显黄化、灰褐化、卷曲或枯死","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","READY_KEEP","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"3","马铃薯早疫病","mild","少量褐或暗褐病斑，可见同心轮纹，病斑彼此分开，叶、茎或块茎表面主体完整","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","READY_KEEP","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"3","马铃薯早疫病","moderate","同心轮纹病斑多发或相互融合，黄晕与枯斑扩大，但仍保留连续健康组织","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","READY_KEEP","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"3","马铃薯早疫病","severe","融合枯斑占据评估单位大部，叶片或茎段明显干枯，或块茎表面出现明显凹陷干腐","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","READY_KEEP","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"4","玉米锈病","mild","叶片或叶鞘仅有少量分散铁锈色或橙黄疱斑，粉状孢子覆盖局限","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","READY_KEEP","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"4","玉米锈病","moderate","疱斑在同一单位内明显增多并成片，伴可见黄化或局部坏死","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","READY_KEEP","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"4","玉米锈病","severe","疱斑密集或连成大片，叶片持续黄化、坏死或干枯，功能组织明显减少","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","NEEDS_RESEARCH","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"5","番茄细菌性斑点病","mild","叶、叶柄、茎或果实仅见少量深褐至黑色小斑，黄绿晕圈局限，组织主体完整","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","READY_KEEP","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"5","番茄细菌性斑点病","moderate","小斑在同一单位内多处出现或相互靠近，叶缘开始坏死，果面斑点增多但仍有完整组织","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","READY_KEEP","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"5","番茄细菌性斑点病","severe","斑点密集融合并形成连续叶缘坏死或大片干枯，或果实表浅斑广泛影响外观完整性","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","READY_KEEP","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"6","番茄晚疫病","mild","叶、茎或果实仅见局部暗绿水渍状不规则斑，白霉或油渍特征局限","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","READY_KEEP","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"6","番茄晚疫病","moderate","水渍状斑扩大并相互接近，出现白霉、褐化或叶片局部干枯，仍有连续健康组织","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","READY_KEEP","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"6","番茄晚疫病","severe","病斑连成大片，叶片或茎明显褐化软化，或果实油渍大斑破坏主体","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","READY_KEEP","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
