"canonical_class"	"severity_level"	"assessment_template"	"assessment_unit"	"treatment_pair_id"	"knowledge_document"	"current_treatment_heading"	"current_treatment_source_ids"	"current_alignment"	"alignment_reason"	"evidence_ids"	"research_status"	"proposed_action"	"mismatch_type"	"implementation_readiness"	"unresolved_blocker"	"notes"
"玉米叶枯病"	"轻度"	"仅评估当前选择的 一张清晰玉米叶片或一株可见叶片集合；不合并其他器官、其他植株或田间情况。"	"一张清晰玉米叶片或一株可见叶片集合"	"玉米叶枯病-轻度"	"knowledge\baidu-baike-20260818\documents\00.md"	"### 轻度"	"03-T1"	"READY_KEEP"	"当前条目以局部清理、监测、物理/农业措施或低风险选择为主；与用户确认的当前样本轻度观察相容，但仅作为可选一般指导，不自动触发。"	"E-00"	"confirmed_2026-09-01"	"preserve frozen wording; future UI labels it general guidance and requires current label/registration checks"	"none"	"READY"	"none"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"玉米叶枯病"	"中度"	"仅评估当前选择的 一张清晰玉米叶片或一株可见叶片集合；不合并其他器官、其他植株或田间情况。"	"一张清晰玉米叶片或一株可见叶片集合"	"玉米叶枯病-中度"	"knowledge\baidu-baike-20260818\documents\00.md"	"### 中度"	"03-T1; 03-T2"	"READY_KEEP"	"现有条目可作为治疗背景，但其选择依据含田间或登记语境；V2 是用户确认的单位级观察，不能自动选择该 tier。"	"E-00"	"specified_2026-09-01"	"require explicit user confirmation and target-crop registration/label validation before optional guidance; never auto-convert historical severity"	"scope_and_registration_mismatch"	"READY"	"no automatic V2-to-treatment tier selection"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"玉米叶枯病"	"重度"	"仅评估当前选择的 一张清晰玉米叶片或一株可见叶片集合；不合并其他器官、其他植株或田间情况。"	"一张清晰玉米叶片或一株可见叶片集合"	"玉米叶枯病-重度"	"knowledge\baidu-baike-20260818\documents\00.md"	"### 重度"	"03-T1; 03-T2"	"READY_KEEP"	"现有重度条目含区域联防、产量/采收期或大范围管理语义；V2 severe 仅表示当前样本单位的可见功能损伤，二者不能自动等同。"	"E-00"	"specified_2026-09-01"	"separate current-sample severe display from field-scale escalation; require user/context confirmation and current registration/label validation"	"scope_mismatch"	"READY"	"no automatic field-scale, yield, harvest, or regional-control inference"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"番茄斑枯病"	"轻度"	"仅评估当前选择的 一片叶、一个茎段或一个果实（用户选定）；不合并其他器官、其他植株或田间情况。"	"一片叶、一个茎段或一个果实（用户选定）"	"番茄斑枯病-轻度"	"knowledge\baidu-baike-20260818\documents\01.md"	"### 轻度"	"05-T1; 05-T2"	"READY_KEEP"	"当前条目以局部清理、监测、物理/农业措施或低风险选择为主；与用户确认的当前样本轻度观察相容，但仅作为可选一般指导，不自动触发。"	"E-01"	"confirmed_2026-09-01"	"preserve frozen wording; future UI labels it general guidance and requires current label/registration checks"	"none"	"READY"	"none"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"番茄斑枯病"	"中度"	"仅评估当前选择的 一片叶、一个茎段或一个果实（用户选定）；不合并其他器官、其他植株或田间情况。"	"一片叶、一个茎段或一个果实（用户选定）"	"番茄斑枯病-中度"	"knowledge\baidu-baike-20260818\documents\01.md"	"### 中度"	"05-T1; 05-T2"	"READY_KEEP"	"现有条目可作为治疗背景，但其选择依据含田间或登记语境；V2 是用户确认的单位级观察，不能自动选择该 tier。"	"E-01"	"specified_2026-09-01"	"require explicit user confirmation and target-crop registration/label validation before optional guidance; never auto-convert historical severity"	"scope_and_registration_mismatch"	"READY"	"no automatic V2-to-treatment tier selection"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"番茄斑枯病"	"重度"	"仅评估当前选择的 一片叶、一个茎段或一个果实（用户选定）；不合并其他器官、其他植株或田间情况。"	"一片叶、一个茎段或一个果实（用户选定）"	"番茄斑枯病-重度"	"knowledge\baidu-baike-20260818\documents\01.md"	"### 重度"	"05-T1; 05-T2"	"READY_KEEP"	"现有重度条目含区域联防、产量/采收期或大范围管理语义；V2 severe 仅表示当前样本单位的可见功能损伤，二者不能自动等同。"	"E-01"	"specified_2026-09-01"	"separate current-sample severe display from field-scale escalation; require user/context confirmation and current registration/label validation"	"scope_mismatch"	"READY"	"no automatic field-scale, yield, harvest, or regional-control inference"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"南瓜白粉病"	"轻度"	"仅评估当前选择的 一片南瓜叶片；不合并其他器官、其他植株或田间情况。"	"一片南瓜叶片"	"南瓜白粉病-轻度"	"knowledge\baidu-baike-20260818\documents\02.md"	"### 轻度"	"01-T1; 01-T2; 01-T3"	"READY_KEEP"	"当前条目以局部清理、监测、物理/农业措施或低风险选择为主；与用户确认的当前样本轻度观察相容，但仅作为可选一般指导，不自动触发。"	"E-02"	"confirmed_2026-09-01"	"preserve frozen wording; future UI labels it general guidance and requires current label/registration checks"	"none"	"READY"	"none"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"南瓜白粉病"	"中度"	"仅评估当前选择的 一片南瓜叶片；不合并其他器官、其他植株或田间情况。"	"一片南瓜叶片"	"南瓜白粉病-中度"	"knowledge\baidu-baike-20260818\documents\02.md"	"### 中度"	"01-T1; 01-T2; 01-T3"	"READY_KEEP"	"现有条目可作为治疗背景，但其选择依据含田间或登记语境；V2 是用户确认的单位级观察，不能自动选择该 tier。"	"E-02"	"specified_2026-09-01"	"require explicit user confirmation and target-crop registration/label validation before optional guidance; never auto-convert historical severity"	"scope_and_registration_mismatch"	"READY"	"no automatic V2-to-treatment tier selection"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"南瓜白粉病"	"重度"	"仅评估当前选择的 一片南瓜叶片；不合并其他器官、其他植株或田间情况。"	"一片南瓜叶片"	"南瓜白粉病-重度"	"knowledge\baidu-baike-20260818\documents\02.md"	"### 重度"	"01-T1; 01-T2; 01-T3"	"READY_KEEP"	"现有重度条目含区域联防、产量/采收期或大范围管理语义；V2 severe 仅表示当前样本单位的可见功能损伤，二者不能自动等同。"	"E-02"	"specified_2026-09-01"	"separate current-sample severe display from field-scale escalation; require user/context confirmation and current registration/label validation"	"scope_mismatch"	"READY"	"no automatic field-scale, yield, harvest, or regional-control inference"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"马铃薯早疫病"	"轻度"	"仅评估当前选择的 一片叶、一个茎段或一个块茎表面；不合并其他器官、其他植株或田间情况。"	"一片叶、一个茎段或一个块茎表面"	"马铃薯早疫病-轻度"	"knowledge\baidu-baike-20260818\documents\03.md"	"### 轻度"	"15-T1; 15-T2"	"READY_KEEP"	"现有条目可作为治疗背景，但其选择依据含田间或登记语境；V2 是用户确认的单位级观察，不能自动选择该 tier。"	"E-03"	"specified_2026-09-01"	"require explicit user confirmation and target-crop registration/label validation before optional guidance; never auto-convert historical severity"	"scope_and_registration_mismatch"	"READY"	"no automatic V2-to-treatment tier selection"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
