canonical_class	assessment_unit	reference_recommended	recommended_form	mild_reference	moderate_reference	severe_reference	uncertain_reference	current_knowledge_asset_candidate	asset_reuse_status	future_material_needed	source_and_rights_requirement	ui_selection_suitability	model_benchmark_isolation
玉米叶枯病	一张清晰玉米叶片或一株可见叶片集合	YES	real photo plus diagrammatic reference; Standard Area Diagram only after class/unit validation	YES	YES	YES	YES: uncertainty decision card, not severity exemplar	knowledge/baidu-baike-20260818/assets/0/: candidate only; not visually/rights audited for V2	UI_REFERENCE_CANDIDATE_ONLY_PENDING_CLEANLINESS_RIGHTS_AND_UNIT_AUDIT	collect clean, rights-cleared exemplar per state plus uncertainty card	record source, license/permission, SHA256, cleanliness review, unit annotation and curator decision	CONDITIONAL_AFTER_VALIDATION__NEVER_DIAGNOSIS_OR_AUTO_TREATMENT	NEVER_VLM_OR_YOLO_BENCHMARK_INPUT__exclude diagnosis/treatment text, webpages, composites and contaminated SHA ea2d34f243f914aa55c82c0b4ede1c99fec27debbb8b77d07dc8720f316ba30a
番茄斑枯病	一片叶、一个茎段或一个果实（用户选定）	YES	real photo plus diagrammatic reference; Standard Area Diagram only after class/unit validation	YES	YES	YES	YES: uncertainty decision card, not severity exemplar	knowledge/baidu-baike-20260818/assets/1/: candidate only; not visually/rights audited for V2	UI_REFERENCE_CANDIDATE_ONLY_PENDING_CLEANLINESS_RIGHTS_AND_UNIT_AUDIT	collect clean, rights-cleared exemplar per state plus uncertainty card	record source, license/permission, SHA256, cleanliness review, unit annotation and curator decision	CONDITIONAL_AFTER_VALIDATION__NEVER_DIAGNOSIS_OR_AUTO_TREATMENT	NEVER_VLM_OR_YOLO_BENCHMARK_INPUT__exclude diagnosis/treatment text, webpages, composites and contaminated SHA ea2d34f243f914aa55c82c0b4ede1c99fec27debbb8b77d07dc8720f316ba30a
南瓜白粉病	一片南瓜叶片	YES	real photo plus diagrammatic reference; Standard Area Diagram only after class/unit validation	YES	YES	YES	YES: uncertainty decision card, not severity exemplar	knowledge/baidu-baike-20260818/assets/2/: candidate only; not visually/rights audited for V2	UI_REFERENCE_CANDIDATE_ONLY_PENDING_CLEANLINESS_RIGHTS_AND_UNIT_AUDIT	collect clean, rights-cleared exemplar per state plus uncertainty card	record source, license/permission, SHA256, cleanliness review, unit annotation and curator decision	CONDITIONAL_AFTER_VALIDATION__NEVER_DIAGNOSIS_OR_AUTO_TREATMENT	NEVER_VLM_OR_YOLO_BENCHMARK_INPUT__exclude diagnosis/treatment text, webpages, composites and contaminated SHA ea2d34f243f914aa55c82c0b4ede1c99fec27debbb8b77d07dc8720f316ba30a
马铃薯早疫病	一片叶、一个茎段或一个块茎表面	YES	real photo plus diagrammatic reference; Standard Area Diagram only after class/unit validation	YES	YES	YES	YES: uncertainty decision card, not severity exemplar	knowledge/baidu-baike-20260818/assets/3/: candidate only; not visually/rights audited for V2	UI_REFERENCE_CANDIDATE_ONLY_PENDING_CLEANLINESS_RIGHTS_AND_UNIT_AUDIT	collect clean, rights-cleared exemplar per state plus uncertainty card	record source, license/permission, SHA256, cleanliness review, unit annotation and curator decision	CONDITIONAL_AFTER_VALIDATION__NEVER_DIAGNOSIS_OR_AUTO_TREATMENT	NEVER_VLM_OR_YOLO_BENCHMARK_INPUT__exclude diagnosis/treatment text, webpages, composites and contaminated SHA ea2d34f243f914aa55c82c0b4ede1c99fec27debbb8b77d07dc8720f316ba30a
玉米锈病	一片叶或一段叶鞘	YES	real photo plus diagrammatic reference; Standard Area Diagram only after class/unit validation	YES	YES	YES	YES: uncertainty decision card, not severity exemplar	knowledge/baidu-baike-20260818/assets/4/: candidate only; not visually/rights audited for V2	UI_REFERENCE_CANDIDATE_ONLY_PENDING_CLEANLINESS_RIGHTS_AND_UNIT_AUDIT	collect clean, rights-cleared exemplar per state plus uncertainty card	record source, license/permission, SHA256, cleanliness review, unit annotation and curator decision	CONDITIONAL_AFTER_VALIDATION__NEVER_DIAGNOSIS_OR_AUTO_TREATMENT	NEVER_VLM_OR_YOLO_BENCHMARK_INPUT__exclude diagnosis/treatment text, webpages, composites and contaminated SHA ea2d34f243f914aa55c82c0b4ede1c99fec27debbb8b77d07dc8720f316ba30a
番茄细菌性斑点病	一片叶、一个茎或叶柄段或一个果实	YES	real photo plus diagrammatic reference; Standard Area Diagram only after class/unit validation	YES	YES	YES	YES: uncertainty decision card, not severity exemplar	knowledge/baidu-baike-20260818/assets/5/: candidate only; not visually/rights audited for V2	UI_REFERENCE_CANDIDATE_ONLY_PENDING_CLEANLINESS_RIGHTS_AND_UNIT_AUDIT	collect clean, rights-cleared exemplar per state plus uncertainty card	record source, license/permission, SHA256, cleanliness review, unit annotation and curator decision	CONDITIONAL_AFTER_VALIDATION__NEVER_DIAGNOSIS_OR_AUTO_TREATMENT	NEVER_VLM_OR_YOLO_BENCHMARK_INPUT__exclude diagnosis/treatment text, webpages, composites and contaminated SHA ea2d34f243f914aa55c82c0b4ede1c99fec27debbb8b77d07dc8720f316ba30a
番茄晚疫病	一片叶、一个茎段或一个果实	YES	real photo plus diagrammatic reference; Standard Area Diagram only after class/unit validation	YES	YES	YES	YES: uncertainty decision card, not severity exemplar	knowledge/baidu-baike-20260818/assets/6/: candidate only; not visually/rights audited for V2	UI_REFERENCE_CANDIDATE_ONLY_PENDING_CLEANLINESS_RIGHTS_AND_UNIT_AUDIT	collect clean, rights-cleared exemplar per state plus uncertainty card	record source, license/permission, SHA256, cleanliness review, unit annotation and curator decision	CONDITIONAL_AFTER_VALIDATION__NEVER_DIAGNOSIS_OR_AUTO_TREATMENT	NEVER_VLM_OR_YOLO_BENCHMARK_INPUT__exclude diagnosis/treatment text, webpages, composites and contaminated SHA ea2d34f243f914aa55c82c0b4ede1c99fec27debbb8b77d07dc8720f316ba30a
马铃薯晚疫病	一片叶、一个茎段或一个块茎表面	YES	real photo plus diagrammatic reference; Standard Area Diagram only after class/unit validation	YES	YES	YES	YES: uncertainty decision card, not severity exemplar	knowledge/baidu-baike-20260818/assets/7/: candidate only; not visually/rights audited for V2	UI_REFERENCE_CANDIDATE_ONLY_PENDING_CLEANLINESS_RIGHTS_AND_UNIT_AUDIT	collect clean, rights-cleared exemplar per state plus uncertainty card	record source, license/permission, SHA256, cleanliness review, unit annotation and curator decision	CONDITIONAL_AFTER_VALIDATION__NEVER_DIAGNOSIS_OR_AUTO_TREATMENT	NEVER_VLM_OR_YOLO_BENCHMARK_INPUT__exclude diagnosis/treatment text, webpages, composites and contaminated SHA ea2d34f243f914aa55c82c0b4ede1c99fec27debbb8b77d07dc8720f316ba30a
芫菁	一片叶或一株可见冠层	YES	real photo plus diagrammatic damage reference; no Standard Area Diagram claim unless validated	YES	YES	YES	YES: uncertainty decision card, not severity exemplar	knowledge/baidu-baike-20260818/assets/8/: candidate only; not visually/rights audited for V2	UI_REFERENCE_CANDIDATE_ONLY_PENDING_CLEANLINESS_RIGHTS_AND_UNIT_AUDIT	collect clean, rights-cleared exemplar per state plus uncertainty card	record source, license/permission, SHA256, cleanliness review, unit annotation and curator decision	CONDITIONAL_AFTER_VALIDATION__NEVER_DIAGNOSIS_OR_AUTO_TREATMENT	NEVER_VLM_OR_YOLO_BENCHMARK_INPUT__exclude diagnosis/treatment text, webpages, composites and contaminated SHA ea2d34f243f914aa55c82c0b4ede1c99fec27debbb8b77d07dc8720f316ba30a
蚜虫	一片叶或一段嫩梢	YES	real photo plus diagrammatic damage reference; no Standard Area Diagram claim unless validated	YES	YES	YES	YES: uncertainty decision card, not severity exemplar	knowledge/baidu-baike-20260818/assets/9/: candidate only; not visually/rights audited for V2	UI_REFERENCE_CANDIDATE_ONLY_PENDING_CLEANLINESS_RIGHTS_AND_UNIT_AUDIT	collect clean, rights-cleared exemplar per state plus uncertainty card	record source, license/permission, SHA256, cleanliness review, unit annotation and curator decision	CONDITIONAL_AFTER_VALIDATION__NEVER_DIAGNOSIS_OR_AUTO_TREATMENT	NEVER_VLM_OR_YOLO_BENCHMARK_INPUT__exclude diagnosis/treatment text, webpages, composites and contaminated SHA ea2d34f243f914aa55c82c0b4ede1c99fec27debbb8b77d07dc8720f316ba30a
